"grid_id","lon","lat","geom"
2212,-118.20826251681686,34.110579492604394,"POLYGON((-118.2136702491367 34.10606243577337,-118.2028323275755 34.10608111369134,-118.20285419975089 34.11509638842956,-118.21369328999918 34.11507770849235,-118.2136702491367 34.10606243577337))"
2213,-118.1974240085432,34.1105976854834,"POLYGON((-118.2028323275755 34.10608111369134,-118.19199440129822 34.10609881956451,-118.19201510478496 34.115114096216864,-118.20285419975089 34.11509638842956,-118.2028323275755 34.10608111369134))"
2214,-118.1865854956787,34.110614906264736,"POLYGON((-118.19199440129822 34.10609881956451,-118.18115647055683 34.10611555339226,-118.18117600535348 34.11513083185366,-118.19201510478496 34.115114096216864,-118.19199440129822 34.10609881956451))"
2215,-118.1757469784754,34.110631154947804,"POLYGON((-118.18115647055683 34.10611555339226,-118.17031853560333 34.10613131517397,-118.17033690170854 34.11514659533935,-118.18117600535348 34.11513083185366,-118.18115647055683 34.10611555339226))"
2216,-118.16490845718532,34.110646431532025,"POLYGON((-118.17031853560333 34.10613131517397,-118.15948059668972 34.10614610490913,-118.15949779410217 34.11516138667337,-118.17033690170854 34.11514659533935,-118.17031853560333 34.10613131517397))"
2217,-118.15406993206048,34.11066073601687,"POLYGON((-118.15948059668972 34.10614610490913,-118.148642654068 34.1061599225972,-118.1486586827865 34.115175205855245,-118.15949779410217 34.11516138667337,-118.15948059668972 34.10614610490913))"
2218,-118.14323140335298,34.11067406840185,"POLYGON((-118.148642654068 34.1061599225972,-118.13780470799013 34.10617276823769,-118.13781956801358 34.11518805288445,-118.1486586827865 34.115175205855245,-118.148642654068 34.1061599225972))"
2219,-118.13239287131478,34.11068642868648,"POLYGON((-118.13780470799013 34.10617276823769,-118.12696675870811 34.10618464183018,-118.12698045003549 34.11519992776057,-118.13781956801358 34.11518805288445,-118.13780470799013 34.10617276823769))"
2220,-118.12155433619795,34.11069781687034,"POLYGON((-118.12696675870811 34.10618464183018,-118.11612880647395 34.10619554337422,-118.1161413291043 34.11521083048314,-118.12698045003549 34.11519992776057,-118.12696675870811 34.10618464183018))"
2221,-118.11071579825449,34.11070823295303,"POLYGON((-118.11612880647395 34.10619554337422,-118.10529085153966 34.10620547286946,-118.10530220547209 34.11522076105183,-118.1161413291043 34.11521083048314,-118.11612880647395 34.10619554337422))"
2222,-118.0998772577365,34.110717676934186,"POLYGON((-118.10529085153966 34.10620547286946,-118.09445289415723 34.106214430315546,-118.09446307939092 34.11522971946628,-118.10530220547209 34.11522076105183,-118.10529085153966 34.10620547286946))"
2223,-118.08903871489598,34.11072614881348,"POLYGON((-118.09445289415723 34.106214430315546,-118.08361493457862 34.10622241571213,-118.0836239511129 34.11523770572616,-118.09446307939092 34.11522971946628,-118.09445289415723 34.106214430315546))"
2224,-118.07820016998494,34.1107336485906,"POLYGON((-118.08361493457862 34.10622241571213,-118.07277697305587 34.10622942905898,-118.07278482089009 34.1152447198312,-118.0836239511129 34.11523770572616,-118.08361493457862 34.10622241571213))"
2225,-118.06736162325548,34.11074017626531,"POLYGON((-118.07277697305587 34.10622942905898,-118.06193900984093 34.10623547035584,-118.06194568897457 34.115250761781155,-118.07278482089009 34.1152447198312,-118.07277697305587 34.10622942905898))"
2226,-118.05652307495957,34.11074573183737,"POLYGON((-118.06193900984093 34.10623547035584,-118.05110104518585 34.10624053960248,-118.05110655561843 34.11525583157581,-118.06194568897457 34.115250761781155,-118.06193900984093 34.10623547035584))"
2227,-118.0456845253493,34.110750315306575,"POLYGON((-118.05110104518585 34.10624053960248,-118.04026307934261 34.10624463679872,-118.04026742107374 34.11525992921501,-118.05110655561843 34.11525583157581,-118.05110104518585 34.10624053960248))"
2228,-118.03484597467671,34.11075392667277,"POLYGON((-118.04026307934261 34.10624463679872,-118.02942511256319 34.10624776194445,-118.02942828559256 34.11526305469858,-118.04026742107374 34.11525992921501,-118.04026307934261 34.10624463679872))"
2229,-118.02400742319377,34.11075656593584,"POLYGON((-118.02942511256319 34.10624776194445,-118.01858714509957 34.10624991503953,-118.01858914942699 34.11526520802642,-118.02942828559256 34.11526305469858,-118.02942511256319 34.10624776194445))"
2230,-118.0131688711526,34.11075823309569,"POLYGON((-118.01858714509957 34.10624991503953,-118.0077491772038 34.10625109608391,-118.0077500128291 34.11526638919846,-118.01858914942699 34.11526520802642,-118.01858714509957 34.10624991503953))"
2231,-118.00233031880518,34.11075892815224,"POLYGON((-118.0077491772038 34.10625109608391,-117.99691120912784 34.10625130507748,-117.99691087605098 34.115266598214674,-118.0077500128291 34.11526638919846,-118.0077491772038 34.10625109608391))"
2232,-117.99149176640357,34.11075865110549,"POLYGON((-117.99691120912784 34.10625130507748,-117.9860732411237 34.10625054202034,-117.9860717393447 34.115265835075036,-117.99691087605098 34.115266598214674,-117.99691120912784 34.10625130507748))"
2233,-117.98065321419985,34.11075740195545,"POLYGON((-117.9860732411237 34.10625054202034,-117.9752352734434 34.10624880691245,-117.97523260296232 34.115264099779544,-117.9860717393447 34.115265835075036,-117.9860732411237 34.10625054202034))"
2234,-117.96981466244597,34.110755180702135,"POLYGON((-117.9752352734434 34.10624880691245,-117.96439730633888 34.10624609975388,-117.96439346715596 34.11526139232832,-117.97523260296232 34.115264099779544,-117.9752352734434 34.10624880691245))"
2235,-117.95897611139404,34.110751987345665,"POLYGON((-117.96439730633888 34.10624609975388,-117.9535593400622 34.106242420544746,-117.95355433217769 34.115257712721416,-117.96439346715596 34.11526139232832,-117.96439730633888 34.10624609975388))"
2236,-117.94813756129606,34.11074782188613,"POLYGON((-117.9535593400622 34.106242420544746,-117.94272137486533 34.10623776928514,-117.94271519827956 34.11525306095897,-117.95355433217769 34.115257712721416,-117.9535593400622 34.106242420544746))"
2237,-117.93729901240411,34.110742684323654,"POLYGON((-117.94272137486533 34.10623776928514,-117.93188341100024 34.10623214597524,-117.93187606571368 34.11524743704115,-117.94271519827956 34.11525306095897,-117.94272137486533 34.10623776928514))"
2238,-117.92646046497018,34.11073657465845,"POLYGON((-117.93188341100024 34.10623214597524,-117.92104544871897 34.10622555061525,-117.92103693473209 34.11524084096816,-117.93187606571368 34.11524743704115,-117.93188341100024 34.10623214597524))"
