grid_id,lat,lon,geom,prediction
48,33.76782310357651,-118.29376669310932,"POLYGON((-118.29914774497927 33.76330234994369,-118.28835409377504 33.76332869549221,-118.28838506110438 33.77234369729182,-118.29917987146219 33.772317348882126,-118.29914774497927 33.76330234994369))",18.146308527708854
49,33.76802101837391,-118.19661837201592,"POLYGON((-118.20200466565268 33.7635046102085,-118.19121096356007 33.76352224332752,-118.19123149842054 33.77253726614682,-118.20202635968313 33.77251963111279,-118.20200466565268 33.7635046102085))",19.240300414746535
50,33.76806956413507,-118.16423550772801,"POLYGON((-118.16962354639467 33.76355460541122,-118.15882983181979 33.763569334374765,-118.15884688916219 33.772584362308265,-118.16964176291108 33.77256963174512,-118.16962354639467 33.76355460541122))",16.76649416138634
51,33.76808380984574,-118.15344121172413,"POLYGON((-118.15882983181979 33.763569334374765,-118.14803611358198 33.76358309528539,-118.14805201174923 33.772598124713355,-118.15884688916219 33.772584362308265,-118.15882983181979 33.763569334374765))",16.678045325460825
52,33.76809708745069,-118.14264691218119,"POLYGON((-118.14803611358198 33.76358309528539,-118.13724239193017 33.76359588814265,-118.13725713092114 33.77261091895993,-118.14805201174923 33.772598124713355,-118.14803611358198 33.76358309528539))",21.29202794015126
53,33.77648968512119,-118.41254706864677,"POLYGON((-118.41792227515006 33.7719636187887,-118.40712755439834 33.77200061677589,-118.40717128167229 33.78101559210017,-118.4179671617977 33.78097859009541,-118.41792227515006 33.7719636187887))",11.894029858538644
54,33.776526201022236,-118.40175176350172,"POLYGON((-118.40712755439834 33.77200061677589,-118.39633282425567 33.77203664662546,-118.39637539215293 33.78105162586218,-118.40717128167229 33.78101559210017,-118.40712755439834 33.77200061677589))",11.070884019851105
55,33.77656174873249,-118.39095644908872,"POLYGON((-118.39633282425567 33.77203664662546,-118.38553808497107 33.77207170833614,-118.38557949348868 33.78108669138019,-118.39637539215293 33.78105162586218,-118.39633282425567 33.77203664662546))",11.633928774850824
56,33.77659632825067,-118.3801611256568,"POLYGON((-118.38553808497107 33.77207170833614,-118.37474333679349 33.77210580190673,-118.37478358592857 33.781120788652984,-118.38557949348868 33.78108669138019,-118.38553808497107 33.77207170833614))",12.975745429738271
57,33.77662993957559,-118.36936579345505,"POLYGON((-118.37474333679349 33.77210580190673,-118.36394857997192 33.77213892733603,-118.3639876697217 33.78115391767935,-118.37478358592857 33.781120788652984,-118.37474333679349 33.77210580190673))",13.593994920610307
58,33.77666258270606,-118.35857045273237,"POLYGON((-118.36394857997192 33.77213892733603,-118.35315381475536 33.77217108462287,-118.35319174511713 33.78118607845811,-118.3639876697217 33.78115391767935,-118.36394857997192 33.77213892733603))",13.39590602364705
59,33.77669425764095,-118.34777510373787,"POLYGON((-118.35315381475536 33.77217108462287,-118.34235904139278 33.77220227376614,-118.34239581236395 33.781217270988186,-118.35319174511713 33.78118607845811,-118.35315381475536 33.77217108462287))",14.414236794465621
60,33.77672496437915,-118.3369797467206,"POLYGON((-118.34235904139278 33.77220227376614,-118.3315642601332 33.77223249476474,-118.33159987171116 33.781247495268445,-118.34239581236395 33.781217270988186,-118.34235904139278 33.77220227376614))",15.579042306695312
61,33.77675470291957,-118.32618438192951,"POLYGON((-118.3315642601332 33.77223249476474,-118.32076947122557 33.77226174761761,-118.32080392340791 33.78127675129785,-118.33159987171116 33.781247495268445,-118.3315642601332 33.77223249476474))",15.182314703377946
62,33.776783473261204,-118.31538900961371,"POLYGON((-118.32076947122557 33.77226174761761,-118.30997467491892 33.77229003232374,-118.3100079677032 33.78130503907541,-118.32080392340791 33.78127675129785,-118.32076947122557 33.77226174761761))",15.227880882887272
63,33.776811275403034,-118.30459363002214,"POLYGON((-118.30997467491892 33.77229003232374,-118.29917987146219 33.772317348882126,-118.29921200484615 33.78133235860007,-118.3100079677032 33.78130503907541,-118.30997467491892 33.77229003232374))",17.834067446236556
64,33.776838109344034,-118.29379824340387,"POLYGON((-118.29917987146219 33.772317348882126,-118.28838506110438 33.77234369729182,-118.28841603508582 33.781358709870915,-118.29921200484615 33.78133235860007,-118.29917987146219 33.772317348882126))",17.860537822580646
65,33.776863975083344,-118.28300285000799,"POLYGON((-118.28838506110438 33.77234369729182,-118.27759024409453 33.77236907755187,-118.27762005867123 33.781384092887,-118.28841603508582 33.781358709870915,-118.28838506110438 33.77234369729182))",17.999381854838713
66,33.77688887262,-118.2722074500835,"POLYGON((-118.27759024409453 33.77236907755187,-118.2667954206816 33.77239348966145,-118.26682407585156 33.78140850764746,-118.27762005867123 33.781384092887,-118.27759024409453 33.77236907755187))",18.534221975806446
67,33.77691280195317,-118.26141204387936,"POLYGON((-118.2667954206816 33.77239348966145,-118.25600059111457 33.77241693361965,-118.2560280868758 33.78143195415142,-118.26682407585156 33.78140850764746,-118.2667954206816 33.77239348966145))",16.831195784370195
